Card Name,Category,Date Reviewed,Profiles,Ratings,Reviews,Source,Bank Name,Old/New
RBL Platinum Delight,Rewards," Apr 02, 2019",User,5,I have been using RBL PLATINUM card since 2017. I am getting buy one get one movie tickets free from BOOK MY SHOW every month. Credit limit is not sufficient if they increase the limit it will be good. Annual charges is there but i am not sure.Customer service is good.,BANK BAAZAR,RBL,New
AXIS VISTARA,Travel," Apr 03, 2019",User,4,I have just started using AXIS BANK VISTARA CREDIT CARD and the features are good. The credit limit was average. They did the process on time and delivered the card within a week. The annual charge is applicable and its 1500 rupees. The documents are submitted online and also executive came for verification.,BANK BAAZAR,Axis Bank,Old
HDFC JET PRIVILEGE,Travel," Apr 03, 2019",User,5,I have taken SBI JET PRIVILEGE CARD this is life time free card .Credit limit is sufficient  and good.Customer service is also good. Flights tickets bookings and all i am getting some rewards. I am getting some lounge benefits. I am using this card since 2014.,BANK BAAZAR,HDFC Bank,Old
SBI AIR INDIA SIGNATURE,Travel," Apr 03, 2019",User,4,I have Air India Signature card and its been 2 months. The credit limit is more than 50K which was okay. They are charging annual fee of Rs.1500. I have taken the card for flight ticket booking and it has air lounge access. The customer service is good.,BANK BAAZAR,SBI,Old
CITIBANK PREMIERMILES,Travel," Apr 03, 2019",User,4,"I hold CITI bank PREMIERMILES CARD recently,They have charged me annual fee in this card,but no waived off option available in this card,and i am happy with the credit limit which they have given me in this card,and the reason for choosing mainly this bank is for their brand as they have good brand name.",BANK BAAZAR,Citi Bank,Old
CITIBANK PREMIERMILES,Travel," Apr 03, 2019",User,4,The card which i have taken is  CITI PREMIERMILES CARD this is one of the best travel program in the market. Annual charges for this card is Rs. 3000 there is no fees wavier. Customer services and responsiveness is really good. I am getting more reward points for this card.I Received the card with in 4 days.Documentation is also very easy process executive come and collected the documents.,BANK BAAZAR,Citi Bank,Old
HDFC Platinum Edge,Lifestyle," Apr 04, 2019",User,4,"I have one more credit card its HDFC bank last one and half year this life time free card and I am satisfied with credit limit but their customer service is not good and response not at a time , and in this card rewards point offer but I am not using much more in this card ,",BANK BAAZAR,HDFC Bank,New
HDFC Platinum Edge,Lifestyle," Apr 05, 2017",User,4,HDFC is good bank always having quality products & services with good reward system for their customer. The credit card customer service is amazing as when called they give quality service.In terms of credit card they don't have much offers they have only cash back normal like bill payments etc.,BANK BAAZAR,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,10/14/15,User,None,HDFC credit card services are very nice if u make payment of outstanding amount correct time.I got cash back of 2300 rupees with 10 months also I got life time free card now with out any charges,CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/8/15,User,None,How is the redemption of points in this money back ?? Do the points get convert to cash back and reflects in the credit card statement? Or we have to redeem through their redemption site as gift vouchers?,CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/8/15,Expert,None,"@balaji
Iâ€™ve mentioned it above in the same post, yes, the points can be converted into cashback and reflects in the next credit card statement ðŸ™‚",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/9/15,User,None,"Sorry, my bad. Couldnâ€™t notice that . BTW does it require certain threshold of points to get accumulated and if so how many ?",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/18/15,User,None,"Hi,
I m applying for hdfc moneyback card and this is furst time in world of credit card so i m not aware about it. HDFC says that it is lifetime free but above u have mentioned that first year fee and some renewal fee will be reversed. Can u plz clarify is there any charges as annual fee or renewal fee ? I m bit worried about these type of hidden charges, if applicable. Also plz tell me that what is meant by interest on credit card. I have read somewhere that 3-4 % monthly is charged on some credit cards. What is it charged onâ€¦. Is it on the spent amount on the card ?
Plz help urgently â€¦.
Thanks.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/18/15,Expert,None,"Gaurav,
Bank sometimes offers lifetime free card, if youâ€™re said so, you can trust it.
Interest will be charged only when you did not pay the CC bill on or before due date.
Interest on outstanding bill is insanely high and varies from 30%-45%
if you wish to carry forward balance, either make it as EMI or take loan on credit card.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/19/15,User,None,"Hi,
I have 2576 cashback points in my MoneyBack HDFC credit card. Can anyone suggest the way to convert them to money?",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/20/15,Expert,None,"Not sure Balaji, but should be very minimum, less than 1000 RP i suppose.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/20/15,Expert,None,"Ramakrishna, Just Login to netbanking and redeem your points. It will be credited into your Credit card account which will be adjusted on your next CC bill statement.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/22/15,User,None,"Hi, 
I have just received my new HDFC Back Credit Card and I want to know about the Fuel Surcharge Waiver process and limits of this credit card and on which all petrol pump it will work.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/22/15,Expert,None,"For fuel surcharge waiver, you donâ€™t need to do anything, just swipe and forget, theyâ€™ll reverse the charges every month, probably upon bill generation. It works with any petrol bunk. Check out HDFC Netbanking for current limits on your card.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/26/15,User,None,"I have money back card and I didnâ€™t get any cash back since 3 bills , when I spoke to customer care they says the transaction more than 2000 only will be given cash back..",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/28/15,Expert,None,"Sreenivas,
Check netbanking for available reward points on your card. You can ask customer care to convert them to Cashback if you meet their minimum reward points for cashback redemption. Usually you need to send a letter for Cashback redemption.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/28/15,User,None,"I would like to buy laptop worth 52000 with this credit card, and like to pay in EMI..
Could you please suggest me in steps..
Thanks in advance..",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/28/15,Expert,None,"Sreedhar,
Just pay as usual on your card and check your statement after 2 days.
Youâ€™ll find option to convert to EMI.
Note: There is a 0.99% offer at the moment until month end along with processing fee waiver. Make use of it ðŸ™‚",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/29/15,User,None,"Hi siddarth,
I have 5000 reward points In platinum plus card.but my cc is expiring Jan 01 2016.these reward points will forward to next renewal credit card or not?",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,11/29/15,Expert,None,"Satish,
It will be carry forwarded to new card. However, i suggest you to redeem them and upgrade to moneyback card as it gives far better reward points than Platinum Plus.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/1/15,User,None,"Hi,
I have 3 credit cards, i want to close 2 credit cards and keep only one. which one is better from the below
SBI IRCTC Visa platinum Card
Citi bank Rewards Card
HDFC Money back card",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/1/15,Expert,None,"@Siva
SBI IRCTC card is Great option if youâ€™re a frequent train traveller.
Citi bank Rewards card is good if most of your expenses are with their partner outlets (as they have 10x rewards)
If you donâ€™t mind about above, yes, Moneyback is the best for ",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/1/15,User,None,"Hi Siddharth,
i want to keep only one, and i want to use it for only paying bills (electricity, Goods, phone etc..), and online purchases. Can you please suggest one. Thank you.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/1/15,Expert,None,HDFC Money back card will be the best choice then.,CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/1/15,User,None,"Hi,
I am planning to get the Money back credit card, can you let me know the breakup for cash which can be withdrawal+ amt that can be spent on online or outlet purchases. Is it 60-40??",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/1/15,Expert,None,"Shekar,
Anywhere around 40% cash limit, not sure as it varies from customer profile to profile. But Cash w/d has insane interest rates. instead, take â€œinsta loanâ€ on card that will give you funds into your savings a/c in few mins.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/5/15,User,None,Can I transfer the amount from credit card to other saving bank accountâ€¦. If itâ€™s just let me know the process for it pls.,CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/6/15,Expert,None,"Srujan,
Its possible if you use â€œHDFC Insta Loanâ€ that comes with some interest though. Credit limit gets blocked and you can get cash in your savings a/c in few mins. You need to pay an EMI then on.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/8/15,User,None,"Hi, Am very new to credit cards, I have applied for HDFC Moneyback but one of my friend said that this card doesnot offer EMI facilityâ€¦ Please expalin me about the EMI and the interest rate of the EMI on this cardâ€¦
Thanks in advanceâ€¦.. ðŸ™‚",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/8/15,Expert,None,"Thats a false info. My Dadâ€™s credit card is HDFC Moneyback and he availed EMI for 50k INR recently.
Check out this link for details on loan/emi with HDFC: http://www.cardexpert.in/insta-loan-vs-insta-jumbo-loan-vs-smartemi-on-hdfc-credit-card/",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/9/15,User,None,"Hi,
I am new to credit card .. I have applied for HDFC money back card .. wat would be the credit limit .. and what would be the time limit to pay back .. If I pay before due date is der any charges for that like interest ? and how do pay dat â€¦ 
thnks in advance â˜º",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/9/15,Expert,None,"Your credit card limit depends upon your monthly income. no, you donâ€™t need to pay interest if you clear dues within due date (usually 50 days)",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/11/15,User,None,"hello siddharth,
i have applied for money back credit card and my documentation is also done by there representative please let me know the expected time of arrival of it and also if i have to pay annual maintenance charges for it i would rather like to apply for lifetime free card how can i check this",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/11/15,Expert,None,"Amit,
Usually youâ€™ll get the card within 10-15 days. Youâ€™ll get a call during approval, just ask for Lifetime free offer if they have any. There is spend base waiver as well.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/11/15,User,None,I want to buy a LED TV from online or retail outlet from my city. Can i convert the payment made threw this card to EMI? I call helpline and they told me that it depend on the retailer that he will provide the facility for EMI on the card? I am confused about that.,CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/11/15,Expert,None,"All cards come with EMI facility by default. If you doubt, open your account statement and click on â€œcheck eligibilityâ€ for EMI which will be right next to your each transaction.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/19/15,User,None,"Hi , recently i have received my money back card. at the time of registration. i hve asked for lifetime free card. but on brocher i received it mentioned thsn it will waive off on spent of 50000 per year. kindly advise. second i would like to change my cc cycle on 20th of every month. now it is 16. what is the process for it.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/20/15,Expert,None,Charges maybe printed by default on Brochure. Just drop them an email whether your card is a LTF & about Billing cycle. You generally get right answer over email CC than over phone.,CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/21/15,User,None,"I need a high credit card limit against Fixed Deposit (10-15Lakhs). Can I get HDFC Moneyback Credit Card Against Fixed Deposit? 
Also, can I get accelerated reward points on International Transactions in Foreign Currency Transactions. (Mostly in USD). 
Is there any upper cap on no of reward points I can get every month?",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/21/15,Expert,None,"Yashwant,
Yes, you can get 80% of your FD as Credit limit. Moneyback card is a beginner card. With 10L range, go for HDFC Regalia credit card. It has lower markup fee with USD transactions.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/21/15,User,None,"Thanks for the confirmation Siddharth. I have checked Regalia Credit Card Also but looks like that doesnâ€™t have option of converting reward points in Cashback. 
Also Money Back Card gives 6 points on 150 v/s 4 points on 150 on Regalia card for online transactions. Correct me if my information is wrong.",CARD EXPERT,HDFC Bank,New
HDFC Moneyback Credit Card,Rewards,12/21/15,Expert,None,"True that, you can save 1.5% directly as cashback. With regalia 2% you can save, but yes, not as direct cashback, but you can use it for recharge/flight/hotel/movie booking.
100 Regalia RP = 75RS.
100 Moneyback RP = 40RS.
Note that point â€œvalueâ€ is important.",CARD EXPERT,HDFC Bank,New
